,Tweets
193,"Dear 
@Twitter
, I urge you to take immediate action against on 
@MaryamNSharif
 account, She is spreading hatred and inciting violence. 

As a responsible social media platform, please ensure that such behavior is not tolerated. 
@elonmusk
, please use your influence to raise… Show more"
194,ن لیگ کا بیانیہ صحافیوں اور حمایتیوں کے لیے الیکشن سے فرار کا راستہ تو ہو سکتا ہے مگر آئین و قانون سے اسکا کوئی تعلق نہیں۔
195,#PTI #PMLN #PPP سمیت تمام سیاسی جماعتیں ایک حقیقت ہے ۔کسی کی مقبولیت زیادہ یا کسی کی کم ہو سکتی ہے۔ مگر اختلاف رائے تو ہو سکتا ہے مگر کسی جماعت کو دہشت گرد قرار دینا جمہوریت کی نفی ہو گی۔
196,"A great officer and a human being. 
اناللہ وانا علیہ راجعون"
197,“جب تک چیف جسٹس عمر عطا بندیال ہیں آئین معطل اور عدالتوں کو تالا لگادیا جائے، نئے چیف جسٹس آکر الیکشن کرائیں مریم صاحبہ نے اگلے چیف جسٹس قاضی فائز عیسیٰ کو بھی آنے سے پہلے ہی متنازعہ بنادیا یہ سلسلہ کہاں رُکے گا؟
198,انا للہ وانا علیہ راجعون
199,جب اللہ آپکی مدد کر رہا تو مخالفوں کو دور کی بات آپکو خود بھی سمجھ نہیں آتی کہ کیا ہو رہا ہے۔
200,ذیشان --  دنیا نیوز UK کا بیورو چیف غلط تصویر ڈال کر جھوٹ پھیلا رہا ہے اور مریم  اسے RT کر کے پھیلا رہی ہے . اس جھوٹ پر آپ کو FIA میں ایک کمپلین ڈالنی چاہیے !!
201,"عوام سےڈرتے ہیں۔ انتخابات کے لئے تیار نہیں۔ احتساب کے نام سے انہیں خوف آتا ہے۔ یہ اصلاحات کے بھی خلاف۔ بدعنوان اور بدعنوانی ان کے نزدیک جائز۔ سمجھتے ہیں کہ لاٹھی، گولی، پکڑ دھکڑ اور تشدد کے ذریعے ملک پر قابض رہیں گے۔ 
بھلا بتلائیے کہ کس بدقسمت ملک کی حکمراں اشرافیہ کا ذکر ہے؟"
202,"Now, who did this?"
203,پاکستانی علاقوں کو لینڈ مائنز سے پاک کرنا چاہیئے۔ کئی معصوم پہلے ہی شدید نقصان اٹھا چکے ہیں۔ https://twitter.com/manzoorpashteen/status/1639369331069837312…
204,ویسے موصوف کے اپنے بچوں کو کتنی اردو آتی ہے؟ ۰۰۰۰۰۰ خدا کے واسطے؟ twitter.com/murtazasolangi…
205,ملک کا چاہے سب کچھ برباد ہوجائے بس عمران خان کو روکو! 
206,صدیق جان کا گناہ۔۔۔۔
207,100 سے کم ہیں۔۔۔
208,اسٹیبلشمنٹ نے طے کر رکھا ہے کہ ایٹم ہی برآمد کرنا۔ شاید تھوڑی دیر کام آجائے مگر یہ پراپیگنڈا زیادہ بکنا نہیں ہے۔
209,کولڈ ڈرنک بم
210,جنوبی وزیرستان میں مبینہ لینڈ مائنز کا نشانہ بننے والا بچہ۔ پختون دہشت گرد نہیں بلکہ سب سے زیادہ دہشتگردی کا شکار ہوئے ہیں۔
211,"محترمہ بینظیر بھٹو کا پیغام 
پاکستان کے عوام اور      
پاک فوج 
@OfficialDGISPR
 
بیٹے بلاول 
@BBhuttoZardari
 
زرداری صاحب 
@AAliZardari
 
بیٹی بختاور 
@BakhtawarBZ
 
اور اعلی عدلیہ کے نام"
212,"صدیق جان ⁦
@SdqJaan
⁩ رہائی کے بعد شاندار استقبال۔۔۔

عمران ریاض خان ⁦
@ImranRiazKhan
⁩ اور میان میاں علی اشفاق ⁦
@MianAliAshfaq
⁩ مبارکباد کی مستحق ہیں!"
213,نواز شریف رکھ لے تو مسئلہ ہمیشہ کے لیے حل ہو جائے گا۔ عمران خان رکھا تو گولیاں بھی کھانی پڑ سکتی ہیں۔
214,صحافی گوہر  سیال اور کیمرہ مین صحافی حذیفہ بدستور دہشت گردی کے جعلی مقدمے میں گرفتار ہیں سب انکے لیے آواز اٹھائیں۔ صحافیوں کے ساتھ ایسی غنڈہ گردی کی مثال نہیں ملتی۔
215,ابھی FIA کا یہ محبت نامہ موصول ہوا ہے۔
216,عدالت کی چھت کے مناظر
217,"Immense honour to have received Sitara-e-Imtiaz in the presence of my mother and father. 

This award is for my parents, fans and the people of "
218,"بے شرمی کی انتہا دیکھیں اسلام آباد پولیس کس طرح صحافیوں کیخلاف پارٹی بن چکی ، گوہر سیال کو سب جانتے لڑکا میڈیا میں کام کرتا بڑی محنت سے اپنا ڈیجیٹل میڈیا چلا رہا ، اسکو پکڑ کر اسکا نام ایف آئی آر میں ڈال دیا پٹرول بم بھی برآمد 

ظالموں شرم کرو ! حکومتیں عہدے سدا نہیں رہتے"
219,صدیق جان کو بھی اٹھا لیا گیا غصہ عمران خان عدالت حاضری جوڈیشل کمپلیکس کی رپورٹنگ ذرائع
220,"آئین قانون نظام اداروں کو ن لیگ کیطرف سے ویلڈن 
@MaryamNSharif"
221,"شیر کا بچہ ماشاءاللہ
اللہ رب العزت حوصلہ قائم رکھے 
یہ دن گزر جائیں گے مگر یہ فسطائیت یاد رہے گی۔"
222,ظالموں آخر چاہتے کیا ہو؟ پہلے کہتے تھے جاتا نہیں۔ آج جان پر کھیل کر چلا گیا تو کہہ رہے ہیں کہ لیٹ چلا گیا۔ کوئ ایک سیکنڈ کیلۓ اِس پر نہیں بولا کہ آج اسلام آباد میں فلسطین اور جموں کشمیر جیسا منظر تھا۔ تم لوگ واقعی چاہتے ہو کہ خان کو کچھ ہوجاۓ؟ اللہ سے ڈو۔
223,"اگر آج اردو پوائنٹ کی ٹیم فرٹ پر رہ کر ""لائیو"" کوریج نہ کرتے شاید آپ کو اندازہ نہیں تھا کہ زمان پارک سے کیا کیا کچھ نکالا جا سکتا تھا - بکاؤُ میڈیا اور گھٹیا صحافی اس بات پر رو رہے ہیں کہ یہ سب اردو ہوائنٹ نے کیسے دیکھا دیا اور ہماری مطلب کی چیز کیوں نہیں دیکھائی گئی...."
224,"آخر کب تک صحافیوں کو فرض کی ادائیگی پر گرفتار ، اغوا ، نوکریوں سے نکلوانے اور دھمکیوں دینے کا سلسلہ جاری رہے گا؟صدیق جان
@SdqJaan
 کی گرفتاری قابل مذمت ہے۔ اظہار رائے پر قدغن پرانے ہتھکنڈے ہیں"
225,پاکستان میں ایک ایسا طبقہ بھی بستا ہے جو عورتوں کا سیدھی گولیاں لگنے پر نہیں بولتا، دس ماہ کی بچی اٹھائے جانے پر ٹس سے مس نہیں ہوتا، مرد پولیس والے آدھی رات کو خاتون کارکن کو گھر سے اسکی اولاد کے سامنے گھسیٹ کر لے جاتے ہیں اور کچھ نہیں کہتا۔۔مگر فواد چوہدری کے اس بیان پر عورت… Show more
226,تاریخ میں لکھاجائےگاکہ عمران خان برصغیرکےوہ واحدسیاستدان تھےجوقانون کی بات ماننےاورگرفتاری کےلیےتیارنہیں تھے۔ذوالفقارعلی بھٹو،بےنظیربھٹواورنوازشریف کےپاس بھی عوامی طاقت تھی مگرانہوں نےکبھی مزاحمت نہیں کی۔سہیل وڑائچ
227,اس بار ایک خاتون کی ڈیوٹی ایک سفید بالوں والے بھائی ادا کر رہے ہیں۔ اب نہ آئین دکھائی دے رہا ہے اور نہ آرٹیکل 6 کی کوئی بات۔ بس بغض ہے
228,یہ نام نہاد تعلیم یافتہ خواتین جن میں سے ایک معلمہ بھی ہے کس قدر تعصب کا مظاہرہ کر رہی ہیں پشتو اسپیکنگ، پٹھان طالبان لگتے تھے اور ان سے بڑھ کر اس ویڈیو کو شیئر کرنے والی نام نہاد سیاستدان خاتون جو اس تعصب کو ہوا دے رہی ہے۔
229,قوم فکر نہ کرے قاسم سوری کی آئین شکنی پر کپڑے پھاڑ  کر ماتم کر نے والے صحافی  اور قانون دان ابھی الیکشن کمیشن کے سامنے دھرنا دیں گے اور سپریم کورٹ کے سامنے بھوک ہڑتال کر کے مطالبہ کریں گے کہ ملک میں آئین بحال کریں اور نظریہ ضرورت دفن کرائیں گے۔
230,Outside Avenfield House in London right now.
231,کہاں ہیں وہ واٹس ایپ صحافی جو عمران خان کے جلسے میں خالی جگہ ڈھونڈتے ہیں ۔ بے شرم زرا یہ بھی حساب لگا کر بتاؤ کتنے ہیں؟؟
232,ہر دور کے مصنف اپنے ظنز و مزاح کے ذریعے قوم کی آبیاری کرتے رہے
233,اللہ کی مدد مخالفوں کے دلوں میں خوف ڈال دیتی ہے اور حق پرستوں کے حوصلے بلند کرتی ہے۔
234,کوئی گیارہویں بار معافی ۔ ایک وقت میں طلعت حسین کو آئیڈیل کے طور پر دیکھتے تھے اور یہ سوچتے تھے کہ اس پروفیشن میں جائیں گے آج یہ شخص ایک جبری گمشدگی کے شکار سیاسی ورکر کے بارے میں گرفتاری کی خبریں دے رہا ہے۔ شرمناک
235,"عمران خان کا مقابلہ سیاست میں کرے نسلی بنیادوں پر پاکستان کو تقسیم مت کرو نفرت کو مت پھیلاؤ
پختون دہشت گرد نہیں وہ دہشت گردی کے ہمیشہ شکار رہے ہیں
@OfficialDGISPR"
236,دسمبر 2020 میں عرض کیا تھا۔ ارشد شریف شہید، ارشاد بھٹی اور صابر بھائی بھی اسی پروگرام میں تھے۔
237,مقصد کچھ اور ہے
238,"Very well explained the meaning of “NEUTRAL” by 
@ImranRiazKhan"
239,یہ نامعلوم افراد کون تھے؟ کیا انکے چہروں کو پہچانا جا سکتا ہے؟ انہیں کون اور کس مقصد کے لیے لایا تھا؟
240,"یہ کیا چیز ہے مجھے تو پینٹ بال گن کی گولیاں لگ رہی ہیں یہ کافی زور سے ہٹ ہوتی ہیں مگر ان میں پینٹ ہوتا ہے عموماً 
کیا ان میں کوئی کیمیکل استعمال کیا گیا ہے؟"
241,ماہرہ خان کو مینٹل ہیلتھ پروبلم ہیں اور انور مقصود عمر کےاس حصہ میں شراب کےنشہ میں دھت رہتا ہے۔ان دونوں بےشرم کیریکٹر پر عوام کی لعنت ہو۔ماہرہ خان کےکردار پر تو کتابیں لکھی جا سکتی ہیں،یہ پیسہ کےلیےانڈین اداکاروں کی خوشامد بھی کرتی ہےاور انور مقصود تعصب سے بھرا ہوا لعنتی کردار ہے
242,عمر بھائی کمال کردیا آپ نے سارا ملبہ ایک شخص پر ڈال دیا ۔۔۔۔۔۔ تازہ ترین سلسلہ پاناما سے شروع ہوا جو آپ نے بریک کی تھی سٹوری اپنے کریڈٹ کو ڈس کریڈٹ تو نہ کریں
243,چند دن قبل ایک سیاسی جماعت کے مقامی رہنماء کے 4 بچوں کو اٹھانے کا الزام آپ پر لگا تھا اسکا جواب ابھی تک نہیں دیکھا۔
244,"جنرل باجوہ نے اپنی انا اور ضد میں طاقت ایسے ٹچوں کے ہاتھوں میں دے دی جو آئین کو مان رہےہیں نہ عدلیہ کے احکامات کو۔
اب عمران کی مقبولیت عدلیہ کیلئے کھڑی ہوگئی جبکہ پولیس اورانتظامیہ اسے طاقت سے روکے گی تو آئینی بحران ایمرجنسی کی طرف جاتے نظر آرہا ہے 
#آئین_پاکستان_سے_غداری_نامنظور"
245,"صدیق جان بہت بڑا آدمی ہے، اچھا آدمی ہے اور بہادر آدمی ہے، مجھے اسکی یہ بات بہت پسند آئی کہ بہادر آدمی ہے اور بہادر آدمی کی میں بہت عزت کرتا ہوں۔ ارشد شریف شہید کے ان الفاظ پر ہمیں خود سے بھی زیادہ یقین ہے۔
#ReleaseSiddiqueJaan
#صدیق_جان_کو_رہا_کرو"
246,"پولیس نے 
@ImranKhanPTI
 رہائش گاہ گیٹ کرین سے توڑ کراندر زبردستی داخل ہو گی ۔ خواتین کو حراساں کرنے کی مبینہ خبریں۔"
247,آئین کو عزت دو- ووٹ کو خود مل جائے گی-
248,"ہم سنا کرتے تھے سیاست اور دشمنی میں گھریلو عورتوں اور بچوں کو نہیں لایا جاتا۔ لیکن آج دیکھا ایسا کچھ نہیں۔  ہر اخلاقی حد کو پار کر لیا گیا۔ ہر حد کو توڑ دیا گیا۔  

دوسری طرف چند کلوُمیٹر دور ہائیکورٹ کی عدالت نے  جس کا فیصلہ تھا کہ زمان پارک پر آپریشن نہیں ہو گا۔ 

سب چپ ہیں"
249,"آج حکومت نے سیاسی انتقامی کاروائی کرتے ہوئے نیازی ایکسپریس لاہور کو سیل کردیا گیا-ہمیں عمران خان کا ساتھ دینے کی سزا دی جارہی ہیں-ہم ہرحال میں عمران خان کے ساتھ کھڑے ہیں-جان دے دیں گے خان نہیں دیں گے-اعظم خان نیازی 
 #زمان_پارک_پُہنچو"
250,میں مسلم لیگ ن کے اس اقدام کا جس میں انہوں نے  @hinaparvezbutt کا ٹکٹ کینسل کردیا ہے شدید مذمت کرتا ہوں کیونکہ سب سے زیادہ TC ، سب سے زیادہ سیلفیاں ،مریم نواز کے گلاس ایک جگہ سے دوسری جگہ پہنچانا ، مریم نواز کا موازنہ ارطغرل سے کرنا یہاں تک کے BBC URDU تک کے بیانات کا دفاع کیا… Show more
251,"پیڑول بم میں بوتل کا ٹوٹنا ضروری ہوتاہے یہ جو منرل واٹر کی بوتل میں پیڑول بم دکھایا جارہاہے یہ پلاسٹک کی بوتل ہے یہ نہیں ٹوٹتی 
پیڑول بم چلائے گئے لیکن یہ برآمدگی جعلی ہے اور آئی جی پنجاب کو اس بات کا پتہ ہی نہیں 
 #ZamanPark_under_attack"
252,محسن نقوی جیسے شخص کو پاکستان کی آدھی آبادی والے سب سے بڑے صوبے پر لمبے عرصے تک مسلط رکھنے کا منصوبہ اجتماعی عوامی شعور اور انکے ووٹ کے حق کی توہین ہے۔
253,تصویر بہت اچھی ہے کنٹینٹ مائلڈ ہونا چاہئیے
254,"چارسدہ میں مفت آٹا کی تقسیم کے دوران بھگدڑ ۔
اور دھکم پھیل اور بھگدڑ کی وجہ سے ایک شخص جان بحق چار زخمی ۔
خواتین اور مردوں کے لیے ایک ہی سنٹر میں مفت آٹا تقسیم کا پوائنٹ مقرر کیا گیا ہے ۔
صبح 6بجے سے ہزاروں مرد و خواتین مفت آٹا کے حصول کے لیے سنٹر پہنچ گئے تھے 
@IMFSpokesperson"
255,“زمان پارک سے گرفتار ملازم نے پولیس کو بتایا ہے کہ دس ایم پی اے کی ٹکٹوں کے عوض کالے دھن کا کیش 50کروڑ روپیہ زمان پارک کے تہہ خانہ سے غائب ہو گیا ہے ۔ اظہر مشوانی نے خبر کی تصدیق کی ہے اور کہاپراپرٹی ٹائیکون کی عطیہ کردہ کمائی غائب ہونے پر عمران خان سیخ پا ہیں”
256,جن بنگالیوں کو ہماری اسٹیبلشمنٹ 2 ٹکے کا کہتی تھی آج انکا ایک ٹکہ 2 پاکستانی روپے سے بھی مہنگا ہے۔ https://twitter.com/usmanfarhat/status/1637973928869085185…
257,"پوچھتے ہو مجھسے کیوں یہ لوگ مر رہے ہیں ؟
#Konhai #PTI #ZamanPark #arshadshareef 
https://youtube.com/watch?v=hbAMWhRgD5Y&ab_channel=AhsanMayo…
@ImranRiazKhan
 @javerias
  @ImranKhanPTI
 @RaisaqibKharal
 @PTIofficial"
258,کشمیر سے خبریں آتی تھیں کہ فلاں لیڈر کو پکڑ لیا ، فلاں کے گھر چھاپہ اور اتنے دن سے لاپتہ ، فلاں پر دہشت گردی کا مقدمہ بنا دیا - اب یہ خبریں لاہور/اسلام آباد سے آتی ہیں کہ رات گئے پولیس گھر پہنچ گئی ، فلاں کو زبردستی اٹھا لیا ، فلاں راستے سے گم ہو گیا ، فلاں کو دہشت گرد بنا دیا...
259,توشہ خانہ کا دبایا گیا ریکارڈ آنے دیں فراڈیا چھوٹا لفظ ثابت ہوگا۔ کس وزیر اعظم کی اپنی بیٹی نیب پہ حملہ آور ہوئی کون سا وزیر اعظم جتھا لے کے سپریم کورٹ میں کورٹ روم تک پہنچا ۔ ایکشن تو کبھی ہوا ہی نہیں۔
260,"صحافی صدیق جان اور ادریس کی گرفتار کے بعد ریمانڈ کی مذمت کی جاتی ہے۔
آواز دانے اوچھے ہتکھنڈے کون بند کرے گا؟
#صدیق_جان_کو_رہا_کرو"
261,مگر اسلحہ تو پولیس کے پاس تھا۔۔
262,انصاف کی فراہمی کے لیے جناب جواد عباس صاحب کا شکریہ۔ فسطائیت کے اس دور میں اللہ رب العزت کے بعد عدلیہ سے ہی ہماری امید ہے۔
263,یہ شخص کس کے قبضے میں تھا اور سوالات پوچھنے والا کون ہے جو ججز کے بارے میں ویڈیو ریکارڈ کرنا چاہتا تھا؟ کیا کبھی اسطرح کی ویڈیو نواز شریف یا اسکے کسی ساتھی کی بنائی گئی جس میں ججز کے بارے میں ایسے سوالات کیے گئے ہوں۔ عدلیہ کے خلاف کھیل جاری۔
264,گوہر سیال اور حذیفہ کو بھی فورا رہا کیا جائے۔
265,"صدیق جان کے اغواء کے دوران جب ڈیجیٹل میڈیا سے تعلق رکھنے والے صحافی 
@MIdreesChachar
 نے مزاحمت کی تو خفیہ ایجنسی کے اہلکاروں نے ادریس کو بھی اغواء کرکے نامعلوم مقام پر منتقل کردیا۔ ادریس کشمور سندھ کا نوجوان ہے اور پسماندہ علاقے سے شہر اقتدار میں روزی کمانے آیا ہے۔ صدیق اور ادریس… Show more"
266,"لبيك اللهم لبيك.......
ماشاءاللہ"
267,عمران خان کے خلاف بجلی چوری کا مقدمہ بنانے کی تیاری شروع ہو گئی، لاہور الیکٹرک سپلائی کمپنی نے زمان پارک کی انتظامیہ کو نوٹس بھیج دیا ہے کہ ہمیں زمان پارک میں چیکنگ کے لئے رسائی دی جائے
268,سیاسی کارکنوں کے اغواء اور ان کو غائب کرنا نہ صرف تشویشناک بلکہ انتہائی قابل مزمت ہے۔ اس ملک میں کوئی قانون اور آئین نہیں، کس طرح لوگوں کو اٹھاکر غائب کیا جاتا ہے؟
269,یہ تو اہلکار کہہ رہا ہے کچھ نہیں ملا ۔ گگلی والا اور قاتلوں کا سرپرست جھوٹ بول رہے ہیں
270,کیا جنرل باجوہ کے انکشاف کے بعد سپریم کورٹ میرے اغوا سے متعلق اپنے سامنے زیر التوا سو موٹو کیس میں پولیس کو جنرل فیض کا بیان ریکارڈ کرنے کا حکم دے گی؟
271,چوہدری اعتزاز احسن نے سارے پول کھول دیے انکے گھر کے دروازے توڑے گئے
272,ایڈشنل سیشن جج ظفر اقبال نے فیصلہ سناتے ہوئے کہا کہ امید ہے تفصیلی فیصلہ پڑھ کے مزا آئے گا ،،
273,نہایت دلچسپ: اک نون لیگی ایم این اے سے ابھی بات ہوئی کہتا ہے قسم لے لیں یہ ہم نہیں کر رہے، رانا اور مریم گروپ پاگل ہو گیا ہے اور کچھ نامعلوم لوگوں کے پیچھے لگ گیا ہے۔۔
274,"الیکشن کمیشن نے پنجاب کے انتخابات ملتوی کر دیے۔ ""پاکستان میں 70 سال سے یہی ہوتا آرہا ہے"" کاشف عباسی کا تجزیہ
@meherbokhari
@Kashifabbasiary
مکمل پروگرام: http://youtu.be/yUaDhO2VGho"
275,اسلام آباد: قیمیض شلوار میں 20 لوگوں پہ مشتمل ایک گروپ عدالت میں داخل
276,ہسٹری میں فکشن پڑھ کر ہی پلاسٹک کی بوتل میں پیٹرول بم بنایا جا سکتا ہے۔
277,اس تصویر میں آپ کو امپورٹڈ اور ہینڈلرز کی ایک سال کی کل کارکردگی ملے گی
278,"دونوں لندن میں بیٹھ کر پاکستان میں خون خرابے کے منصوبے بناتے ہیں 

کردار دو ہیں کہانی ایک ہے"
279,صدیق جان کو 20 گھنٹے تک بھوکا رکھا گیا۔ اقتدار کے خبط میں مبتلا ذہنی مریضوں کی خوشامد میں ریاستی اداروں کو اس حد تک نہیں گرنا چاہیے۔
280,Govt of Pakistan gone mad.
281,صحافیوں کے خلاف کریک ڈائون کل بھی غلط تھا آج بھی غلط ہے ۔۔ صدیق جان کو فوری رہا کیا جاۓ ۔ @SdqJaan
282,پاکستانی معاشرے اور سیاست میں جو تقسیم اور نفرت کی فضا ہے نہ صرف اس کا آغاز عمران خان نے کیا بلکہ اسے انتہا تک بھی پہنچایا اور باور رہے ایسا شخص کسی مسئلے کا حل نہیں بلکہ بذات خود ایک مسئلہ ہوتا ہے انتشار اور نفرت پھیلانے والا قوم بناتا نہیں لیکن قوم کو تباہ کر سکتا ہے
283,یہ کیا بنایا ہے؟ https://twitter.com/govtofpakistan/status/1638697746772406272…
284,اس جگہ پر تو صرف پولیس ہی پولیس تھی تو اس گاڑی کو کس نے آگ لگائی ؟
285,پروفیسر وارث میر کا ایک بیٹا ملک کے سابق وزیراعظم کے گھر کا دروازہ تڑوا رہا دوسرا یہاں مقدمہ لڑ رہا اور پولیس اقدامات کو جسٹیفائی کر رہا ، پروفیسر صاحب کی روح بہت تکلیف میں ہوگی twitter.com/HamidMirPAK/st…
286,سوات موٹروے چکدرہ کے مقام پر مظاہرین نے نوجوان کی لاش سڑک پر رکھر ہر قسم کے ٹریفک کے لیے بند کر دیا۔ مظاہرین کا کہنا ہے کہ لیویز اہلکاروں نے گھر میں گھس نوجوان کو خاندان کے سامنے قتل کر دیا ہے سوات موٹروے گزشتہ تین گھنٹوں سے بند ہے انتظامیہ کے طرف سے کوئی رابط نہیں
287,"لاہور میں پولیس کی بھاری نفری زمان پارک کے اندر داخل ہوگئی، افسوس، مسلم لیگ ن نے سانحہ ماڈل ٹاؤن سے بھی کوئی سبق نہیں سیکھا۔۔۔لگتا ہے کسی دُشمن کا علاقہ فتح کیا جا رہا ہے۔۔۔
#Zaman_Park_Lahore
#ImranKhan"
288,"IG پنجاب نے رانا ثناءاللہ کے وارنٹ گرفتاری پر عملدرآمد کے سوال کا جواب دینے سے انکار کر دیا۔ 
اندھے کو بھی نظر آ رہا ہے کہ پورا نظام ایک شخص کو گرانے میں لگا ہوا ہے۔"
289,ضمانت پارک میں دہشت گردوں کے ستائے ہوئے لوگ! گیدڑ کی بزدلی کی قیمت بیچارے عوام کو چکانی پڑ رہی ہے!
290,گلگت بلتستان والے تگڑے ہیں بھئی۔۔۔
291,افسوسناک مناظر https://twitter.com/DurraniViews/status/1637494110939381762…
292,"Bureau chief of BOL news Isb 
@SdqJaan
 Siddique Jaan is arrested because of his coverage of police torture and shelling on Ex PM Imran Khan. 
@hrw
 @UN
 @UNHumanRights"
293,سپریم کورٹ کو ایکشن لے کر ملک کے ساتھ یہ مذاق فورا روکنا چاہیئے۔ 2 صوبوں میں نگران حکومتیں ہیں اور وہاں فوری انتخابات آئین کا تقاضہ ہیں۔
294,پاکستان کے میڈیا سے ذیادہ اپنے کپڑے اتار کر کسی نے اپنا آپ نہیں دیکھایا ،45%مہنگائی کے اوپر یہ اپنا منہ کھولنے کو تیار نہیں ہیں بے شرم لوگ!
295,یہ کیسے ممکن ہے؟
296,"ایک اور بہترین افسر سیاست کی نذر۔
سیاسی دباو برداشت کرنا ہر ایک کے دل گردے کا کام نہیں۔"
297,پاکستان کی سیاست میں عمران نیازی کی واحد کامیابی اپنے پیروکاروں کو غلیظ سے غلیظ اور شرمناک گالیوں کی تربیت دینا ہے۔ جن کے پاس دلیل نہیں ہوتی وہ گالی گلوچ ہی کیا کرتے ہیں۔
298,"عمران خان کی ریلی کی کوریج کرنے پر 
@ICT_Police
 کا 
@ExpressNewsPK
 ٹیم پر دھاوا، جی 14 چیک پوسٹ پر پولیس کا تشدد، سادہ کپڑوں میں ملبوس اہلکاروں نے ڈی ایس این جی ڈرائیور عمر کو تھپڑ مارے، ایس ایچ او سنگجانی ڈی ایس این جی ڈرائیور عمر کو ساتھ لے گئے !!"
299,"سپریم کورٹ کے تین ججز کا فیصلہ قبول نہیں کیونکہ وہ بیانیہ کے خلاف ہے۔ سپریم کورٹ کے ان دو ججز کا فیصلہ قبول ہے جو بیانیہ کے حق میں ہے۔ اسے کیا کہا جائے؟ نادانی، بے سمجھی ،یا ضرورت سے زیادہ ہوشیاری۔ عامر ہاشم خاکوانی
#MaryamNawaz
#Aamirkhakwani
http://bit.ly/42LtQgo"
300,توبہ توبہ توبہ یقیناًمن حیث لقوم ہمارے اعمال ایسے ہوں گےاللہ سبحانہ و تعالیٰ نے ایسی لیڈرشپ کے حوالے کیا جہاں اخلاقی معیار پستیوں کی گہرائیوں کو چھو رہے ہیں پلک جھپکتے رنگ بدلتے ہیں چلیں عوام کو منہ دکھانے کی پرواہ نہیں مگر راتوں رات پینترے بدلنے کی کہیں تو قیمت دینی ہوگی
301,"جنرل باجوہ کے انٹرویو کے سمجھ آنیوالے چند نکات
1: جتنے غلط کام ہوئے وہ میرے ماتحت فوجی افسران کر رہے تھے
2: رجیم چینج سے پہلے فوج نے سائیڈ بدل لی تھی
3: صحافیوں پر حملوں اور تشدد میں فوجی ملوث تھے
4: جنرل باجوہ دنیا کی معصوم ترین روح ہیں۔"
302,ایک پیغام
303,یہ گرفتار ہونیوالا عمران خان کا باورچی سفیر ہے جس کے کھانے کا ذائقہ کیسا ہے عمران خان کے علاوہ کوئی نہیں جانتا اور وجہ آپ سب کو معلوم ہے۔
304,"توشہ کیس میں پہلے سے ہی ایک ادارہ تحقیقات کر رہا ہے اور ٹرائل بھی چل رہا ہے وکیل عمران خان 
اسی دوران نیب نے بھی توشہ خانہ کی تحقیقات شروع کردیں ہیں وکیل عمران خان"
305,پولیس اپنی پسند کامیڈیا ساتھ لے کر گئی ہے بم اور اسلحہ برآمد کرنے کا ڈرامہ رچایا جائے گا۔ گھر کے ملازموں پر بھی تشدد
306,مقبوضہ کشمیر میں صحافیوں اور جدوجہد کرنے والے سیاسی رہنماؤں پر بےبنیاد مقدمات درج کرکے انہیں جیلوں میں ڈالنا ظلم اور بربریت ہے جس کی پاکستان مذمت کرتا ہے اور کشمیریوں کی حمایت جاری رکھے گا، ترجمان دفتر خارجہ کا اہم بیان
307,"عدالتی احکامات اور ضابطہ اخلاق پر عمل کیا جارہا ہے۔

عدالتی جاری کردہ لسٹ میں شامل 12 صحافی بشمول 3 خواتین صحافی اس وقت جوڈیشل کمپلیکس کے اندر ہیں۔عدالتی احکامات پر مکمل عملدرآمد کیا جارہا ہے۔اسلام آباد پولیس تمام شعبہ ہائے زندگی سے تعلق رکھنے والے افراد کا احترام کرتی ہے۔
#ICTP"
308,Where is Zeeshan?
309,طلعت صاحب کو نظر نہیں آیا جب دختر مفرور عمرانڈو جج ری ٹویٹ کر رہی تھی جب اعجاز الاحسن اور مظاہر نقوی پر پوری حکومت حملہ آور ہوتی ہے تو ان جیسے شرم سے عاری خدمت گار آنکھوں پہ کھیرے رکھ کے کانوں میں روئی ٹھونس لیتے ہیں
310,یہ گاڑی پولیس نے خود جلائی
311,"عمران ریاض خان، طارق متین اور صدیق جان جب تک زعفرانی شلوار قمیض پہن کر یہ کرکے نہیں دکھاتے ہم انکو نیوٹرل اور اصلی صحافی نہیں مانیں گے۔ اعلامیہ جاتی امراء ملازم صحافی ایسوسی ایشن
@ImranRiazKhan @SdqJaan @tariqmateen"
312,صدیق جان کو اسلام آباد پولیس نے گرفتار کیا ہے۔ زرائع
313,یہ ہمارے وزیر داخلہ کی سنجیدگی کا عالم ہے۔
314,جس پلان کی عمران خان نے تفصیل بیان کہ یہ اطلاع پرسوں  مل چکی تھی۔پلان میں یہ بھی شامل ہے جو پی ٹی آئی کی طرف سے جا کر پولیس پر فائرنگ کریں گے ان کی الیکٹرونک میڈیا کے لیمرہ مین پہلے سے ویڈیو بنانے کے لیے بہترین اینگل سے ریکارڈنگ کریں گے تاکہ ویڈیو مستند قرار پائے
315,ملک پولیس سٹیٹ بنتا جا رہا ہے۔۔۔
316,شاباش
